Track Name,Artist Name(s),Danceability,Energy,Speechiness,Acousticness,Instrumentalness,Liveness,Valence
Booty Up,Caio Luccas,0.832,0.441,0.115,0.17,5.3e-06,0.109,0.682
Paypal,Teto,0.888,0.691,0.254,0.171,0.0,0.343,0.863
Ei Tudo Bem,"MC Zaquin,Wesley Gonzaga",0.807,0.533,0.0344,0.691,0.0,0.403,0.681
Menina Se Prepara,"Mc Pepeu,DJ Swat",0.541,0.515,0.0488,0.496,0.0,0.0937,0.41
Quem Perdeu Que Chore - Ao Vivo,"Israel & Rodolffo,MC Kevinho",0.802,0.948,0.0346,0.546,0.0,0.385,0.826
Sobe e Desce - Ao vivo,"Mc Don Juan,MC Kevinho,DG e Batidão Stronda",0.847,0.665,0.079,0.343,0.0,0.964,0.739
Recomeçando,Mc Don Juan,0.88,0.62,0.316,0.606,0.0,0.101,0.488
Malvadão 3,"Xamã,Gustah,Neo Beats,Bagua Records",0.821,0.609,0.268,0.378,0.0,0.136,0.516
Sem Dó,"Matuê,L7NNON",0.612,0.661,0.133,0.163,0.0,0.103,0.659
Melhor Dia 7 - Sossego,"Marcos Baroni,Teto,Edi Rock,WIU,Alee,Brandão85",0.555,0.684,0.297,0.229,0.0,0.0871,0.519
Formosa,"Kaio Viana,MC CJ",0.765,0.483,0.0362,0.432,0.0,0.21,0.217
Não Nasceu pra Namorar,"MC Zaquin,MC Rick",0.525,0.448,0.0443,0.14,0.0,0.0922,0.527
Bala Love,"Mc Anjim,Dj Lv Mdp,DJ PH DA SERRA",0.628,0.318,0.0507,0.807,0.101,0.19,0.492
Várias Queixas,Gilsons,0.743,0.508,0.0516,0.463,0.000153,0.223,0.256
Algum Ritmo,"Gilsons,Jovem Dionisio",0.767,0.496,0.0347,0.333,0.0694,0.111,0.17
Proposta,Gilsons,0.8,0.551,0.0369,0.579,8.43e-05,0.204,0.466
Voltar à Bahia,Gilsons,0.501,0.419,0.0457,0.688,0.00261,0.113,0.552
O Bebê,"MC Kevinho,MC Kekel",0.81,0.746,0.146,0.237,0.0,0.262,0.794
Dia Azul,Teto,0.845,0.686,0.0797,0.00163,0.0,0.118,0.252
Preta do Cabelo Cacheado,"Th CDM,Batidão Stronda",0.848,0.502,0.238,0.679,0.0,0.0565,0.816
Pandora,"DJ Matt D,Menor MC,MC GP,Vulgo FK",0.688,0.458,0.588,0.14,0.0,0.407,0.559
